,Address,Postcode,Size in m²,Rooms,Prize in €,Price/Sqm,Latitude,Longitude,Status
0,Aalsmeerweg 127 2                       , 1059 AH ,72.0,3,2800.0,38.888888888888886,52.347.277,484.719,doubt
1,Brouwersgracht 248 F                       , 1013 HE ,62.0,2,2500.0,40.32258064516129,52.382.417,4.885.611,doubt
2,Krijn Breurstraat 7                       , 1064 SX ,94.0,3,3000.0,31.914893617021278,52.378.049,4.823.713,success
3,Cliffordstraat                       , 1051 GS ,50.0,2,2000.0,40.0,52.383.771,4.871.866,success
4,Baarsjesweg                       , 1058 AG ,60.0,3,4000.0,66.66666666666667,52.367.455,4.862.214,success
5,Keizersgracht 421                       , 1017 DJ ,38.0,1,2500.0,65.78947368421052,5.236.685,4.885.493,success
6,Jan Olphert Vaillantlaan                       , 1086 ZA ,150.0,4,2500.0,16.666666666666668,52.362.457,4.979.589,doubt
7,Koningin Wilhelminaplein                       , 1062 HJ ,62.0,2,2150.0,34.67741935483871,52.356.321,4.838.934,success
8,Jan van Zutphenstraat 779                       , 1069 RS ,98.0,2,3500.0,35.714285714285715,52.349.665,4.797.743,success
9,James Wattstraat                       , 1097 DL ,62.0,2,3500.0,56.45161290322582,5.235.008,4.922.676,success
10,Dintelstraat                       , 1078 VX ,80.0,3,3950.0,49.375,52.341.869,489.344,success
11,Van Eeghenstraat                       , 1071 GE ,130.0,5,4700.0,36.153846153846146,52.356.458,4.869.726,success
12,Arent Janszoon Ernststraat                       , 1082 LD ,30.0,1,2500.0,83.33333333333333,52.332.122,4.888.758,success
13,Mauvestraat 47 I                       , 1073 RH ,60.0,3,2500.0,41.66666666666666,52.349.873,4.903.033,doubt
14,Lauriergracht                       , 1016 RK ,90.0,5,5000.0,55.55555555555557,52.371.294,4.879.935,success
15,Kuipersstraat                       , 1073 ER ,40.0,1,2150.0,53.75,52.353.543,4.902.691,success
16,De Wittenkade 97 A                       , 1052 AG ,61.0,3,3050.0,50.0,5.238.313,4.877.624,success
17,Millingenhof 233                       , 1106 KP ,125.0,4,2000.0,16.0,52.295.758,4.969.133,success
18,Eerste Helmersstraat                       , 1054 DS ,58.0,3,3500.0,60.3448275862069,52.363.891,4.876.734,success
19,Rooseveltlaan 167 III                       , 1079 AM ,118.0,4,5000.0,42.3728813559322,52.343.066,4.897.824,doubt
20,Geelvinckssteeg 6 3                       , 1017 BE ,85.0,3,2500.0,29.411764705882355,52.366.516,4.891.502,success
21,Frederiksstraat                       , 1054 LB ,45.0,2,3000.0,66.66666666666667,52.358.039,4.859.196,success
22,Korte Keizersstraat                       , 1011 GH ,33.0,2,2350.0,71.21212121212122,52.371.387,490.253,success
23,Wilhelminastraat                       , 1054 WH ,75.0,3,2000.0,26.66666666666667,52.361.416,4.862.565,success
24,Kleine Houtstraat                       , 1013 HN ,94.0,3,3500.0,37.23404255319149,52.384.635,4.884.627,success
25,Lambertus Zijlplein 35                       , 1067 JR ,84.0,3,2000.0,23.809523809523807,52.378.507,4.801.399,doubt
26,Stadionweg                       , 1077 SR ,80.0,3,2500.0,31.25,52.345.615,4.859.659,doubt
27,Prinsengracht                       , 1016 HJ ,35.0,1,1700.0,48.57142857142857,52.362.122,4.898.975,success
28,Koningin Wilhelminaplein                       , 1062 KS ,100.0,4,3500.0,35.0,52.355.141,4.837.472,success
29,Koningin Wilhelminaplein                       , 1062 KS ,100.0,4,2200.0,22.0,52.355.141,4.837.472,success
30,Wilhelminastraat 28 2                       , 1054 WJ ,52.0,2,2500.0,48.07692307692307,52.362.398,486.615,doubt
31,Keizersgracht 735 II                       , 1017 DZ ,83.0,2,3500.0,42.16867469879518,52.364.293,4.899.411,doubt
32,Curaçaostraat                       , 1058 BT ,62.0,2,2050.0,33.064516129032256,489.973,doubt,
33,Kromme-Mijdrechtstraat                       , 1079 KR ,60.0,2,3500.0,58.33333333333334,52.347.187,4.908.138,success
34,Legmeerplein                       , 1058 NL ,65.0,3,3000.0,46.153846153846146,52.353.083,4.851.792,success
35,Staringstraat                       , 1054 VS ,48.0,2,2150.0,44.79166666666666,52.361.769,4.862.475,success
36,Andersensingel                       , 1102 VS ,55.0,2,2300.0,41.81818181818182,52.321.532,4.943.245,success
37,Czaar Peterstraat 149 3                       , 1018 PH ,60.0,4,2000.0,33.333333333333336,52.370.888,4.930.453,success
38,Bolestein 546 A                       , 1081 EJ ,88.0,3,2800.0,31.818181818181817,52.324.934,4.859.314,success
39,Backershagen                       , 1082 GR ,130.0,4,5000.0,38.46153846153846,52.324.708,4.875.113,success
40,Van Nijenrodeweg                       , 1083 EK ,90.0,4,3000.0,33.333333333333336,52.327.337,4.858.141,success
